customer_id,annual_income,spending_score
CUST-1001,117,52
CUST-1002,107,15
CUST-1003,121,72
CUST-1004,75,21
CUST-1005,117,83
CUST-1006,101,75
CUST-1007,89,88
CUST-1008,131,100
CUST-1009,118,24
CUST-1010,17,22
CUST-1011,67,2
CUST-1012,102,30
CUST-1013,52,2
CUST-1014,78,60
CUST-1015,35,33
CUST-1016,90,58
CUST-1017,36,89
CUST-1018,63,91
CUST-1019,73,42
CUST-1020,106,60
CUST-1021,94,15
CUST-1022,76,62
CUST-1023,61,62
CUST-1024,65,55
CUST-1025,130,64
CUST-1026,135,3
CUST-1027,115,51
CUST-1028,21,21
CUST-1029,87,39
CUST-1030,32,4
CUST-1031,103,60
CUST-1032,28,9
CUST-1033,104,53
CUST-1034,16,84
CUST-1035,106,60
CUST-1036,85,44
CUST-1037,139,8
CUST-1038,61,35
CUST-1039,92,81
CUST-1040,50,50
CUST-1041,118,4
CUST-1042,16,6
CUST-1043,68,4
CUST-1044,68,93
CUST-1045,77,18
CUST-1046,104,44
CUST-1047,48,74
CUST-1048,76,100
CUST-1049,28,95
CUST-1050,62,15
CUST-1051,86,78
CUST-1052,101,62
CUST-1053,54,85
CUST-1054,94,82
CUST-1055,125,53
CUST-1056,38,26
CUST-1057,103,60
CUST-1058,138,41
CUST-1059,43,15
CUST-1060,59,65
CUST-1061,103,71
CUST-1062,23,88
CUST-1063,15,8
CUST-1064,102,63
CUST-1065,25,81
CUST-1066,22,35
CUST-1067,49,33
CUST-1068,137,5
CUST-1069,120,41
CUST-1070,42,7
CUST-1071,87,72
CUST-1072,26,34
CUST-1073,47,48
CUST-1074,133,23
CUST-1075,76,88
CUST-1076,51,99
CUST-1077,58,86
CUST-1078,105,35
CUST-1079,79,99
CUST-1080,115,47
CUST-1081,92,3
CUST-1082,15,5
CUST-1083,104,14
CUST-1084,117,27
CUST-1085,23,79
CUST-1086,29,90
CUST-1087,56,77
CUST-1088,65,63
CUST-1089,110,52
CUST-1090,139,96
CUST-1091,18,94
CUST-1092,115,23
CUST-1093,117,15
CUST-1094,57,29
CUST-1095,50,13
CUST-1096,46,71
CUST-1097,73,86
CUST-1098,42,66
CUST-1099,56,45
CUST-1100,76,57
CUST-1101,131,6
CUST-1102,42,28
CUST-1103,122,44
CUST-1104,98,30
CUST-1105,76,75
CUST-1106,136,92
CUST-1107,103,62
CUST-1108,111,1
CUST-1109,135,27
CUST-1110,76,77
CUST-1111,119,3
CUST-1112,117,70
CUST-1113,86,27
CUST-1114,23,62
CUST-1115,51,97
CUST-1116,65,44
CUST-1117,38,79
CUST-1118,73,32
CUST-1119,110,88
CUST-1120,119,52
CUST-1121,127,62
CUST-1122,127,58
CUST-1123,66,12
CUST-1124,53,2
CUST-1125,17,56
CUST-1126,95,59
CUST-1127,127,2
CUST-1128,16,92
CUST-1129,68,87
CUST-1130,115,96
CUST-1131,111,1
CUST-1132,33,2
CUST-1133,67,44
CUST-1134,104,32
CUST-1135,84,32
CUST-1136,133,68
CUST-1137,69,75
CUST-1138,70,17
CUST-1139,52,24
CUST-1140,83,98
CUST-1141,84,86
CUST-1142,25,16
CUST-1143,111,73
CUST-1144,138,59
CUST-1145,84,80
CUST-1146,107,3
CUST-1147,34,59
CUST-1148,50,19
CUST-1149,104,67
CUST-1150,33,20
CUST-1151,110,71
CUST-1152,66,33
CUST-1153,54,39
CUST-1154,96,1
CUST-1155,25,92
CUST-1156,71,89
CUST-1157,64,23
CUST-1158,45,94
CUST-1159,56,99
CUST-1160,21,16
CUST-1161,104,60
CUST-1162,127,2
CUST-1163,15,48
CUST-1164,26,69
CUST-1165,51,32
CUST-1166,137,9
CUST-1167,119,99
CUST-1168,33,48
CUST-1169,94,3
CUST-1170,34,24
CUST-1171,68,33
CUST-1172,38,75
CUST-1173,127,72
CUST-1174,50,38
CUST-1175,118,84
CUST-1176,113,89
CUST-1177,113,25
CUST-1178,107,18
CUST-1179,124,82
CUST-1180,80,54
CUST-1181,49,80
CUST-1182,75,41
CUST-1183,114,33
CUST-1184,82,33
CUST-1185,28,21
CUST-1186,62,20
CUST-1187,134,8
CUST-1188,21,67
CUST-1189,31,33
CUST-1190,62,76
CUST-1191,73,86
CUST-1192,133,22
CUST-1193,124,30
CUST-1194,52,51
CUST-1195,68,8
CUST-1196,41,27
CUST-1197,112,21
CUST-1198,44,97
CUST-1199,42,64
CUST-1200,111,69
