order_id,order_date,product,category,region,quantity,unit_price,total_sales
ORD-1001,2023-04-13,Snacks,Food,South,8,303.34,2426.74
ORD-1002,2023-12-26,Curtains,Home Decor,West,8,173.52,1388.14
ORD-1003,2023-10-21,Lamp,Home Decor,South,5,485.26,2426.28
ORD-1004,2023-01-22,Snacks,Food,North,1,159.08,159.08
ORD-1005,2023-06-19,Snacks,Food,West,1,267.14,267.14
ORD-1006,2023-09-01,Spices,Food,West,3,197.41,592.22
ORD-1007,2023-01-21,Headphones,Electronics,North,5,307.7,1538.48
ORD-1008,2023-08-30,Sweater,Clothing,South,9,483.16,4348.44
ORD-1009,2023-04-02,Laptop,Electronics,East,5,123.14,615.69
ORD-1010,2023-07-25,Canned Goods,Food,North,8,26.85,214.8
ORD-1011,2023-02-23,Beverages,Food,South,8,380.13,3041.02
ORD-1012,2023-06-11,Beverages,Food,South,2,389.82,779.63
ORD-1013,2023-09-09,Beverages,Food,North,8,289.52,2316.14
ORD-1014,2023-10-07,Textbook,Books,South,2,274.45,548.9
ORD-1015,2023-10-28,Tablet,Electronics,North,9,155.17,1396.57
ORD-1016,2023-05-16,Headphones,Electronics,West,9,388.4,3495.6
ORD-1017,2023-10-16,Curtains,Home Decor,East,1,358.56,358.56
ORD-1018,2023-01-28,Non-fiction,Books,East,7,329.03,2303.19
ORD-1019,2023-03-03,Tablet,Electronics,West,2,56.75,113.5
ORD-1020,2023-02-04,Comics,Books,North,8,144.61,1156.91
ORD-1021,2023-08-06,Vase,Home Decor,East,3,382.78,1148.35
ORD-1022,2023-08-19,Vase,Home Decor,North,3,25.4,76.2
ORD-1023,2023-08-19,Snacks,Food,North,4,454.71,1818.83
ORD-1024,2023-11-23,Vase,Home Decor,East,4,472.0,1887.99
ORD-1025,2023-03-03,Lamp,Home Decor,North,2,315.93,631.87
ORD-1026,2023-11-27,Non-fiction,Books,West,4,447.35,1789.42
ORD-1027,2023-08-13,Jacket,Clothing,North,9,165.82,1492.4
ORD-1028,2023-08-21,Headphones,Electronics,East,9,410.83,3697.45
ORD-1029,2023-08-22,Vase,Home Decor,West,5,349.29,1746.47
ORD-1030,2023-04-23,Lamp,Home Decor,South,8,354.48,2835.83
ORD-1031,2023-10-22,Laptop,Electronics,South,4,130.97,523.88
ORD-1032,2023-03-22,Vase,Home Decor,East,5,149.57,747.86
ORD-1033,2023-12-09,Laptop,Electronics,North,2,211.41,422.82
ORD-1034,2023-02-22,Smartphone,Electronics,West,3,343.55,1030.64
ORD-1035,2023-11-20,Sweater,Clothing,East,6,128.61,771.64
ORD-1036,2023-10-07,Rug,Home Decor,North,1,366.83,366.83
ORD-1037,2023-08-28,Beverages,Food,West,6,205.42,1232.54
ORD-1038,2023-09-16,Smartphone,Electronics,West,6,350.95,2105.69
ORD-1039,2023-05-27,Canned Goods,Food,West,4,18.13,72.51
ORD-1040,2023-02-08,Snacks,Food,South,1,204.81,204.81
ORD-1041,2023-05-31,Headphones,Electronics,East,9,65.6,590.42
ORD-1042,2023-12-12,Jacket,Clothing,West,7,333.39,2333.75
ORD-1043,2023-10-31,Tablet,Electronics,South,1,128.51,128.51
ORD-1044,2023-01-09,Snacks,Food,North,5,442.49,2212.46
ORD-1045,2023-02-23,Curtains,Home Decor,West,3,429.6,1288.8
ORD-1046,2023-04-14,Tablet,Electronics,West,4,51.23,204.91
ORD-1047,2023-12-15,Rug,Home Decor,South,9,335.12,3016.04
ORD-1048,2023-06-18,Jeans,Clothing,West,6,229.73,1378.37
ORD-1049,2023-10-31,Tablet,Electronics,West,1,252.01,252.01
ORD-1050,2023-01-22,Vase,Home Decor,South,1,275.84,275.84
ORD-1051,2023-01-27,Comics,Books,South,6,453.99,2723.93
ORD-1052,2023-11-13,Non-fiction,Books,West,1,292.68,292.68
ORD-1053,2023-01-17,Rug,Home Decor,West,3,386.59,1159.77
ORD-1054,2023-08-21,Beverages,Food,North,5,442.91,2214.56
ORD-1055,2023-07-07,Fiction,Books,North,5,290.42,1452.12
ORD-1056,2023-06-10,Canned Goods,Food,West,5,103.55,517.73
ORD-1057,2023-08-11,Rug,Home Decor,South,2,282.83,565.67
ORD-1058,2023-04-24,Jacket,Clothing,West,8,44.5,356.03
ORD-1059,2023-04-14,Jacket,Clothing,North,2,168.05,336.1
ORD-1060,2023-06-19,Headphones,Electronics,East,6,186.15,1116.9
ORD-1061,2023-01-13,Jacket,Clothing,West,2,434.87,869.73
ORD-1062,2023-01-20,Jacket,Clothing,North,9,317.67,2859.01
ORD-1063,2023-12-20,Canned Goods,Food,South,7,23.53,164.73
ORD-1064,2023-12-08,Vase,Home Decor,North,6,299.51,1797.05
ORD-1065,2023-04-11,Beverages,Food,North,6,158.6,951.6
ORD-1066,2023-09-19,Textbook,Books,North,5,234.06,1170.3
ORD-1067,2023-11-04,Beverages,Food,West,3,322.34,967.02
ORD-1068,2023-11-15,Non-fiction,Books,East,3,399.64,1198.92
ORD-1069,2023-04-27,Beverages,Food,South,7,132.92,930.45
ORD-1070,2023-05-02,Tablet,Electronics,North,5,38.51,192.57
ORD-1071,2023-08-25,Sweater,Clothing,North,6,360.15,2160.91
ORD-1072,2023-03-10,Tablet,Electronics,South,7,331.98,2323.89
ORD-1073,2023-05-24,Comics,Books,East,3,131.39,394.16
ORD-1074,2023-08-08,Non-fiction,Books,North,9,177.52,1597.69
ORD-1075,2023-08-06,Laptop,Electronics,South,4,95.91,383.65
ORD-1076,2023-08-10,Comics,Books,North,4,94.87,379.48
ORD-1077,2023-10-17,Jeans,Clothing,West,6,321.2,1927.18
ORD-1078,2023-09-14,Jeans,Clothing,West,3,256.54,769.61
ORD-1079,2023-12-02,Fiction,Books,East,4,311.77,1247.07
ORD-1080,2023-06-27,T-shirt,Clothing,East,4,291.98,1167.93
ORD-1081,2023-04-11,Snacks,Food,West,1,407.49,407.49
ORD-1082,2023-02-12,Vase,Home Decor,West,1,329.23,329.23
ORD-1083,2023-08-30,Fiction,Books,East,2,29.09,58.18
ORD-1084,2023-03-31,Laptop,Electronics,South,8,198.84,1590.75
ORD-1085,2023-11-10,Jacket,Clothing,North,9,253.06,2277.53
ORD-1086,2023-10-04,T-shirt,Clothing,North,8,370.18,2961.48
ORD-1087,2023-07-11,Tablet,Electronics,East,5,377.8,1889.01
ORD-1088,2023-04-06,Headphones,Electronics,West,4,192.29,769.16
ORD-1089,2023-10-06,Textbook,Books,North,1,343.12,343.12
ORD-1090,2023-03-25,Vase,Home Decor,West,1,271.82,271.82
ORD-1091,2023-08-21,Laptop,Electronics,East,3,200.71,602.13
ORD-1092,2023-08-11,Snacks,Food,West,7,478.83,3351.83
ORD-1093,2023-01-25,Canned Goods,Food,West,5,54.94,274.68
ORD-1094,2023-05-24,Vase,Home Decor,North,4,473.64,1894.54
ORD-1095,2023-05-02,Fiction,Books,North,7,498.01,3486.04
ORD-1096,2023-01-09,Curtains,Home Decor,South,2,484.64,969.28
ORD-1097,2023-01-07,Sweater,Clothing,South,1,59.55,59.55
