student_id,gender,study_hours,math_score,reading_score,writing_score
STU-501,male,4,68,54,82
STU-502,female,13,60,78,97
STU-503,male,7,50,50,63
STU-504,male,4,79,63,42
STU-505,female,5,41,63,83
STU-506,female,6,41,99,60
STU-507,male,12,97,61,83
STU-508,male,1,66,98,81
STU-509,female,12,99,55,54
STU-510,female,14,86,90,83
STU-511,male,4,96,42,76
STU-512,male,7,60,48,78
STU-513,female,4,64,99,53
STU-514,female,10,48,65,92
STU-515,female,4,67,86,99
STU-516,male,12,47,86,74
STU-517,female,1,75,89,79
STU-518,female,2,45,93,81
STU-519,female,6,68,57,65
STU-520,female,2,49,75,53
STU-521,male,8,53,62,99
STU-522,male,14,79,60,55
STU-523,male,2,86,92,63
STU-524,female,9,99,99,99
STU-525,male,9,68,54,84
STU-526,male,9,46,48,63
STU-527,male,12,47,63,50
STU-528,male,1,47,74,74
STU-529,male,11,44,81,78
STU-530,female,9,67,46,48
STU-531,female,12,73,72,87
STU-532,male,7,63,76,74
STU-533,female,8,61,66,74
STU-534,male,3,76,86,53
STU-535,male,1,44,65,94
STU-536,male,14,78,66,48
STU-537,male,10,81,99,52
STU-538,male,7,88,91,71
STU-539,female,14,76,62,78
STU-540,male,11,68,75,52
STU-541,female,7,98,90,61
STU-542,female,2,81,84,96
STU-543,male,6,67,67,83
STU-544,female,4,69,50,97
STU-545,male,12,64,78,72
STU-546,male,9,66,96,91
STU-547,male,9,42,78,45
STU-548,female,11,48,76,72
STU-549,male,10,83,63,54
STU-550,male,6,71,71,63
STU-551,male,4,88,88,97
STU-552,female,12,78,41,42
STU-553,male,5,88,95,56
STU-554,male,1,41,41,67
STU-555,female,7,76,71,72
STU-556,male,3,41,92,83
STU-557,female,6,71,94,43
STU-558,male,11,95,98,56
STU-559,male,6,63,44,91
STU-560,female,6,61,50,87
STU-561,female,1,48,99,98
STU-562,female,13,42,59,99
STU-563,male,4,58,65,42
STU-564,male,3,59,71,46
STU-565,female,9,72,79,78
STU-566,female,8,40,50,67
STU-567,male,9,89,62,70
STU-568,female,10,74,46,99
STU-569,female,10,87,96,91
STU-570,female,1,41,40,87
STU-571,female,12,44,76,71
STU-572,male,7,48,80,74
STU-573,male,3,59,63,93
STU-574,female,1,63,91,50
STU-575,male,8,75,77,79
STU-576,female,14,74,87,64
STU-577,male,9,68,57,85
STU-578,female,2,93,74,55
STU-579,male,9,75,72,43
STU-580,male,14,60,87,59
STU-581,female,8,46,42,56
STU-582,female,1,87,51,98
STU-583,male,6,94,61,85
STU-584,female,6,77,84,90
STU-585,female,8,66,66,73
STU-586,male,14,72,67,86
STU-587,female,1,44,99,87
STU-588,male,4,74,88,56
STU-589,female,12,69,68,85
STU-590,male,6,74,99,80
STU-591,male,8,68,88,85
STU-592,male,3,99,72,91
STU-593,male,13,60,71,62
STU-594,male,3,57,64,81
STU-595,male,6,97,42,79
STU-596,female,8,89,71,86
STU-597,female,7,41,66,81
STU-598,female,10,56,79,72
STU-599,male,11,93,87,78
STU-600,male,10,94,65,74
